id,active_inactive,labor,rate_hand_per_job,rate_full_job,rate_on_premise_one_man,rate_on_premise,rate_hourly,rate_hourly_office_shop,rate_demo,contact_id,created_at
1,Active,Yes,$150.00,$300.00,$250.00,$200.00,$35.00,$17.50,$25.00,180,2018-02-03 3:23am
2,Active,Yes,$150.00,$300.00,$250.00,$200.00,$35.00,$17.50,$25.00,182,2018-02-04 2:37am
3,Active,No,,,$200.00,$200.00,,,$25.00,183,2018-02-04 2:37am
4,Active,No,,,$200.00,$200.00,,$22.00,$25.00,184,2018-02-04 2:38am
5,Active,Yes,,,,,,,,185,2018-02-04 2:38am
6,Active,Yes,$150.00,$200.00,$200.00,$200.00,,,$25.00,2433,2018-05-04 7:49pm
7,Active,Yes,$150.00,$200.00,$200.00,$200.00,,,$25.00,2448,2018-05-14 4:01pm
8,Active,Yes,$150.00,$200.00,$200.00,$200.00,,,$25.00,2449,2018-05-14 4:02pm
9,Active,Yes,$150.00,$200.00,$200.00,$200.00,,,$25.00,2450,2018-05-14 4:04pm
10,Active,Yes,$100.00,$200.00,$200.00,$200.00,,,$25.00,2458,2018-05-15 4:41pm
11,Inactive,Yes,$150.00,,$200.00,$200.00,,,$25.00,1287,2018-05-25 8:02pm
12,Inactive,Yes,$150.00,,$200.00,$200.00,,,$25.00,2497,2018-05-25 8:04pm
13,Inactive,Yes,$150.00,,$200.00,$200.00,,,$25.00,2498,2018-05-25 8:06pm
14,Inactive,No,$150.00,,$200.00,$200.00,,,$25.00,2499,2018-05-25 8:08pm
15,Inactive,Yes,$150.00,,$200.00,$200.00,,,$25.00,2500,2018-05-25 8:09pm
16,Active,No,$150.00,,$200.00,$200.00,,,$25.00,2502,2018-05-29 7:37pm
17,Active,Yes,$100.00,,$200.00,$200.00,,,$25.00,2503,2018-05-29 9:40pm
18,Active,Yes,$100.00,,$200.00,$200.00,,,$25.00,2521,2018-07-05 2:20pm
19,Active,Yes,$100.00,,$200.00,$200.00,,,$25.00,2522,2018-07-05 2:20pm